County,Year,Health care costs
Alamance County,1/1/2014,8640.0
Alamance County,1/1/2015,9050.0
Alexander County,1/1/2014,9316.0
Alexander County,1/1/2015,9242.0
Alleghany County,1/1/2014,9585.0
Alleghany County,1/1/2015,9423.0
Anson County,1/1/2014,9060.0
Anson County,1/1/2015,8855.0
Ashe County,1/1/2014,8939.0
Ashe County,1/1/2015,8718.0
Avery County,1/1/2014,9726.0
Avery County,1/1/2015,9772.0
Beaufort County,1/1/2014,8044.0
Beaufort County,1/1/2015,7983.0
Bertie County,1/1/2014,8241.0
Bertie County,1/1/2015,8913.0
Bladen County,1/1/2014,10470.0
Bladen County,1/1/2015,10619.0
Brunswick County,1/1/2014,8959.0
Brunswick County,1/1/2015,9095.0
Buncombe County,1/1/2014,8237.0
Buncombe County,1/1/2015,8057.0
Burke County,1/1/2014,8645.0
Burke County,1/1/2015,8931.0
Cabarrus County,1/1/2014,9807.0
Cabarrus County,1/1/2015,9667.0
Caldwell County,1/1/2014,9101.0
Caldwell County,1/1/2015,9043.0
Camden County,1/1/2014,8796.0
Camden County,1/1/2015,9044.0
Carteret County,1/1/2014,8759.0
Carteret County,1/1/2015,9161.0
Caswell County,1/1/2014,9026.0
Caswell County,1/1/2015,9069.0
Catawba County,1/1/2014,8377.0
Catawba County,1/1/2015,8692.0
Chatham County,1/1/2014,8065.0
Chatham County,1/1/2015,8134.0
Cherokee County,1/1/2014,8467.0
Cherokee County,1/1/2015,8026.0
Chowan County,1/1/2014,8394.0
Chowan County,1/1/2015,7628.0
Clay County,1/1/2014,8019.0
Clay County,1/1/2015,7521.0
Cleveland County,1/1/2014,8843.0
Cleveland County,1/1/2015,9085.0
Columbus County,1/1/2014,10546.0
Columbus County,1/1/2015,10605.0
Craven County,1/1/2014,8635.0
Craven County,1/1/2015,9180.0
Cumberland County,1/1/2014,8886.0
Cumberland County,1/1/2015,9008.0
Currituck County,1/1/2014,9404.0
Currituck County,1/1/2015,8799.0
Dare County,1/1/2014,7384.0
Dare County,1/1/2015,7531.0
Davidson County,1/1/2014,9504.0
Davidson County,1/1/2015,9506.0
Davie County,1/1/2014,10030.0
Davie County,1/1/2015,9955.0
Duplin County,1/1/2014,9532.0
Duplin County,1/1/2015,9581.0
Durham County,1/1/2014,8397.0
Durham County,1/1/2015,8108.0
Edgecombe County,1/1/2014,8606.0
Edgecombe County,1/1/2015,8935.0
Forsyth County,1/1/2014,9325.0
Forsyth County,1/1/2015,9157.0
Franklin County,1/1/2014,8966.0
Franklin County,1/1/2015,9284.0
Gaston County,1/1/2014,9903.0
Gaston County,1/1/2015,9728.0
Gates County,1/1/2014,8583.0
Gates County,1/1/2015,8276.0
Graham County,1/1/2014,9833.0
Graham County,1/1/2015,8515.0
Granville County,1/1/2014,8342.0
Granville County,1/1/2015,8198.0
Greene County,1/1/2014,9649.0
Greene County,1/1/2015,10080.0
Guilford County,1/1/2014,8349.0
Guilford County,1/1/2015,8628.0
Halifax County,1/1/2014,9488.0
Halifax County,1/1/2015,9773.0
Harnett County,1/1/2014,10191.0
Harnett County,1/1/2015,10150.0
